date,open,high,low,close,volume
2020-12-01 14:46:00+05:30,1131.9,1132.3,1131.85,1132.1,11421
2020-12-01 14:47:00+05:30,1132.05,1132.25,1132,1132.25,6739
2020-12-01 14:48:00+05:30,1132.2,1132.8,1132.2,1132.7,7331
2020-12-01 14:49:00+05:30,1132.8,1132.85,1132.5,1132.85,11143
2020-12-01 14:50:00+05:30,1132.8,1133,1132.75,1133,7911
2020-12-01 14:51:00+05:30,1133,1133,1132.8,1132.8,8947
2020-12-01 14:52:00+05:30,1132.9,1132.9,1132.5,1132.6,9351
2020-12-01 14:53:00+05:30,1132.5,1132.6,1132,1132.15,8330
2020-12-01 14:54:00+05:30,1132.2,1132.6,1132,1132.45,10361
2020-12-01 14:55:00+05:30,1132.45,1132.65,1132.35,1132.5,6870
2020-12-01 14:56:00+05:30,1132.5,1133.3,1132.5,1133.3,11280
2020-12-01 14:57:00+05:30,1133.3,1133.5,1133,1133,13659
2020-12-01 14:58:00+05:30,1133,1133.2,1133,1133.2,5569
2020-12-01 14:59:00+05:30,1133.15,1133.45,1133.15,1133.4,12759
2020-12-01 15:00:00+05:30,1133.3,1135,1133.3,1134.75,145458
2020-12-01 15:01:00+05:30,1134.8,1137,1134.75,1136.95,88102
2020-12-01 15:02:00+05:30,1136.7,1137.85,1136.45,1136.55,116090
2020-12-01 15:03:00+05:30,1136.6,1136.6,1135.5,1135.8,42952
2020-12-01 15:04:00+05:30,1135.8,1137.8,1135.8,1137.05,95778
2020-12-01 15:05:00+05:30,1137.05,1138.9,1137.05,1138.2,69766
2020-12-01 15:06:00+05:30,1138.45,1139.3,1138.25,1139.3,64436
2020-12-01 15:07:00+05:30,1139.15,1139.5,1137.5,1137.95,80463
2020-12-01 15:08:00+05:30,1137.8,1139.45,1137.8,1139.4,71619
2020-12-01 15:09:00+05:30,1139.25,1139.4,1138.5,1139.05,54658
2020-12-01 15:10:00+05:30,1139.15,1139.4,1139.1,1139.3,57074
2020-12-01 15:11:00+05:30,1138.45,1139.2,1138.1,1139,66238
2020-12-01 15:12:00+05:30,1139,1139.3,1138.95,1139.25,57674
2020-12-01 15:13:00+05:30,1139.25,1139.3,1138.15,1138.4,109800
2020-12-01 15:14:00+05:30,1138.4,1139.6,1138.35,1139.15,141928
2020-12-01 15:15:00+05:30,1139.05,1139.1,1137.9,1137.9,85727
2020-12-01 15:16:00+05:30,1138,1138.1,1136.45,1136.8,90772
2020-12-01 15:17:00+05:30,1136.95,1137,1135.25,1135.25,81713
