Ticker,Name,Exchange,Category Name,Country
VMART.NS,V-Mart Retail Limited,NSI,Department Stores,India
GEECEE.NS,GeeCee Ventures Limited,NSI,Real Estate Development,India
VINYLINDIA.NS,Vinyl Chemicals India Ltd.,NSI,Specialty Chemicals,India
GNFC.NS,Gujarat Narmada Valley Fertilizers & Chemicals Limited,NSI,Agricultural Chemicals,India
VTXIND.NS,VTXIND.NS,NSI,,India
VESUVIUS.NS,Vesuvius India Limited,NSI,Diversified Machinery,India
VAIBHAVGBL.NS,Vaibhav Global Limited,NSI,Jewelry Stores,India
VALUEIND-EQ.NS,VALUE INDUSTRIES LIMITED,NSI,,India
VADILALIND.NS,Vadilal Industries Limited,NSI,Food - Major Diversified,India
UTTAMVALUE-EQ.NS,UTTAM VALUE STEELS INR1,NSI,,India
VIDEOIND-EQ.NS,VIDEOCON INDUSTRIES LIMITED,NSI,,India
VASWANI.NS,Vaswani Industries Limited,NSI,Steel & Iron,India
GLOBALVECT-BE.NS,GLOBAL VECTRA HELI INR10,NSI,,India
WIPRO.NS,Wipro Limited,NSI,Information Technology Services,India
WANBURY.NS,Wanbury Limited,NSI,Drug Manufacturers - Major,India
TODAYS.NS,Todays Writing Instruments Limited,NSI,Business Equipment,India
IBWSL.NS,SORIL Holdings and Ventures Limited,NSI,,India
FIRSTWIN.NS,First Winner Industries Limited,NSI,Textile Industrial,India
WINDMACHIN-EQ.NS,WINDSOR MACHINES INR2,NSI,,India
WELSPUNIND.NS,Welspun India Limited,NSI,Textile Industrial,India
WEBELSOLAR.NS,Websol Energy System Limited,NSI,Diversified Utilities,India
WELSYNTEX-EQ.NS,WELSPUN SYNTEX,NSI,,India
WABCOINDIA.NS,Wabco India Limited,NSI,Auto Parts,India
WSTCSTPAPR-EQ.NS,WEST COAST PAPER M INR2.00,NSI,,India
RAIREKMOH.NS,The Rai Saheb Rekhchand Mohota Spinning & Weaving Mills Ltd.,NSI,Textile Industrial,India
WILLAMAGOR-EQ.NS,WILLIAMSON MAGOR & COMPANY LIMI,NSI,,India
WELSYNTEX.NS,WELSPUN SYNTEX,NSI,,India
LAXMIMACH-EQ.NS,LAKSHMI MACHINE WORKS LIMITED,NSI,,India
WOCKPHARMA.NS,Wockhardt Limited,NSI,Drug Manufacturers - Major,India
WOCKPHARMA-EQ.NS,WOCKHARDT INR5,NSI,,India
IBWSL-EQ.NS,INDIABULLS WHOLESALE SERVICES L,NSI,,India
WEIZMANIND-EQ.NS,WEIZMANN INR10,NSI,,India
WHIRLPOOL.NS,Whirlpool of India Limited,NSI,Electronic Equipment,India
WILLAMAGOR.NS,Williamson Magor & Co. Limited,NSI,Asset Management,India
WENDT.NS,Wendt (India) Limited,NSI,Machine Tools & Accessories,India
ZYDUSWELL.NS,Zydus Wellness Limited,NSI,Personal Products,India
WSTCSTPAPR.NS,West Coast Paper Mills Limited,NSI,Paper & Paper Products,India
TODAYS-EQ.NS,TODAYS WRITING INS INR10,NSI,,India
WELENT.NS,Welspun Enterprises Limited,NSI,Conglomerates,India
SSWL.NS,Steel Strips Wheels Limited,NSI,Auto Parts,India
WONDERLA.NS,Wonderla Holidays Limited,NSI,"Recreational Goods, Other",India
